"Ticker","Book Value per Share","PE ratio","PB ratio","Enterprise Value over EBITDA","returnOnEquity","assetTurnover","Dividend Yield","interestCoverage","Free Cash Flow Yield","EPS Diluted Growth","debtEquityRatio","currentRatio","Market Cap","EBITDA Margin","Profit Margin","operatingCashFlowSalesRatio","Revenue Growth","Price Variation","Class"
"AAOI",10.584,24.8696,1.7478,14.6281,0.0653,0.694407167,0,11.9705,-0.2637,1.3214,0.4105,2.078,288888823.1,0.114,0.057,-0.080104053,0.4558,-43.89195345,"0"
"AAOI",16.751,0,0.9281,15.9818,-0.0065,0.572926484,0,-7.8409,-0.2031,-1.03,0.2691,2.509,305493370.1,0.079,-0.008,0.052451723,-0.3004,-25.1889167,"0"
"AAOI",8.039,37.4,1.4462,14.0569,0.0372,0.710235749,0,14.7485,-0.1958,3,0.2601,2.33,166236137.1,0.084,0.033,0.065389539,0.6634,-59.03614373,"0"
"AAOI",17.451,9.7959,2.2079,6.6215,0.2219,0.844090271,0,99.5152,0.0199,1.0852,0.1486,3.248,734778671.3,0.277,0.193,0.22044888,0.4665,-59.2983372,"0"
"AAOI",13.219,12.6923,1.7914,10.5235,0.1374,0.808868881,0,13.2324,0.0211,1.7077,0.1897,2.627,397276595.1,0.142,0.12,0.219030121,0.3729,63.7229397,"1"
"AAPL",25.693,16.5922,5.9086,11.2594,0.3607,0.610771104,0.0156,0,0.0652,0.1083,0.863,1.276,7.94e+11,0.324,0.211,0.280172226,0.063,-7.054338117,"0"
"AAPL",18.33,15.4253,5.3254,9.9247,0.3542,0.788456644,0.0181,0,0.0832,0.1356,0.3164,1.08,5.99e+11,0.336,0.216,0.326666484,0.0695,-2.082268466,"0"
"AAPL",23.442,13.5186,4.7238,8.7389,0.3562,0.670340021,0.0193,0,0.088,-0.0987,0.6786,1.353,6.08e+11,0.333,0.212,0.307138319,-0.0773,48.04250803,"1"
"AAPL",20.745,12.1164,5.3198,7.9256,0.4474,0.804956173,0.0176,0,0.1088,0.4295,0.539,1.109,6.41e+11,0.358,0.228,0.347714096,0.2786,12.38434235,"1"
"ABB",7.111,18.7168,NA,NA,0.1594,0.888031749,0.037,11.4862,0.0549,-0.0661,0.4711,1.604,46008560000,0.137,0.065,0.096535275,-0.0482,-12.79117785,"0"
"ABB",6.505,20.3793,NA,NA,0.1335,0.857940807,0.0425,10.514,0.0549,-0.2301,0.5137,1.437,46008560000,0.117,0.054,0.107606888,-0.1092,25.18732086,"1"
"ABB",6.227,24.1818,NA,NA,0.1418,0.635911433,0.0358,13.0647,0.0549,0.0115,0.5079,1.39,46008560000,0.14,0.076,0.154157808,-0.2974,30.34048659,"1"
"ABB",6.931,25.9808,NA,NA,0.1493,0.579778177,0.0269,12.9487,0.0549,0.1705,0.4999,1.344,46008560000,0.153,0.088,0.150777901,0.0107,-27.06005421,"0"
"ABB",6.544,18.6373,NA,NA,0.1557,0.622443239,0.0435,11.3702,0.0549,-0.0097,0.6177,1.185,40529320000,0.141,0.079,0.105704577,0.0979,31.93910749,"1"
"ABIL",1.377,0,NA,NA,-2.8709,0.021242216,0,-535.2632,-0.4294,0.0701,0,1.125,11979500,-17.981,-18.904,-9.452690167,-0.8186,-83.61538505,"0"
"ACIA",1.247,20.4967,9.5139,19.4679,5.0549,1.828428073,0,295.8519,0.0193,2.9565,0,2.142,1103564033,0.186,0.032,0.09391105,0.6347,-99.51534242,"0"
"ACIA",12.9,37.2222,2.8932,22.2815,0.0767,0.630128425,0,0,0.0329,-0.7143,0,5.223,1451054611,0.137,0.1,0.160691754,-0.1949,3.120764107,"1"
"ACIA",17.181,16.3687,3.5918,16.1349,0.3026,0.925476268,0,0,0.0371,2.5385,0,5.732,2309364876,0.259,0.199,0.214969524,1.0013,-41.28990426,"0"
"ACIA",12.487,316.6667,3.0526,91.5073,0.0098,0.564735262,0,0,0.0445,-0.8696,0,5.431,1536843006,0.039,0.014,0.244446014,-0.1175,76.7726707,"1"
"ACLS",6.042,0,1.7064,0,-0.0669,0.891928101,0,-8.5108,-0.0591,0.375,0.0863,3.554,286731786.2,-0.022,-0.055,-0.079019557,0.0379,-1.568625984,"0"
"ACLS",6.9,37.2368,2.0669,19.2756,0.0546,0.883364049,0,3.1731,-0.0265,-0.2653,0.2362,5.043,415559209.3,0.076,0.041,-0.032916323,-0.1145,-102.826866,"0"
"ACLS",11.456,7.1898,2.6586,15.6025,0.359,0.84093786,0,9.5591,0.0528,9.5556,0.1349,4.285,928259114.4,0.131,0.309,0.137090469,0.5378,-39.76311439,"0"
"ACLS",6.426,20.3137,1.6315,10.7142,0.0799,1.069950742,0,4.0557,0.0548,2.225,0.259,5.183,299694121.4,0.083,0.049,0.060588069,0.4848,40.98837811,"1"
"ACLS",12.647,12.5352,1.4154,6.8108,0.1124,0.806969209,0,11.7055,0.0732,-0.6447,0.117,4.668,576936216.6,0.148,0.104,0.106117607,0.078,35.46935998,"1"
"ACMR",-1.118,0,9.7411,0,-0.4236,0.615535116,0,9.9834,-0.2376,-0.8144,-1.9606,2.364,50924383.41,0.073,0.038,-0.13525264,-0.1229,-6.249998403,"0"
"ACMR",5.805,0,0.968,94.7934,-0.008,0.537714866,0,1.8267,-0.1015,-1.2778,0.1278,2.884,86240496.08,0.021,-0.009,-0.221908727,0.3337,-93.59431203,"0"
"ACMR",3.314,25.9048,3.3292,18.86,0.1256,0.724358788,0,15.8193,0.0292,8.4,0.1805,2.081,174120669.4,0.111,0.088,0.092560588,1.0447,69.73321948,"1"
"ACN",12.092,17.4772,9.4752,14.9546,0.5442,1.688468836,0.0191,331.0443,0.0434,0.355,0.0036,1.349,96271656140,0.176,0.118,0.134129705,0.0572,34.10301926,"1"
"ACN",16.493,26.1718,10.4513,16.5203,0.3917,1.676649141,0.0157,290.3396,0.0474,0.1654,0.0024,1.338,1.14e+11,0.161,0.099,0.147019235,0.1331,51.66534508,"1"
"ACN",9.038,17.4828,8.9323,12.974,0.5132,1.77768402,0.0229,231.5908,0.0481,-0.0832,0.0047,1.459,65895949773,0.148,0.092,0.109368477,0.0487,21.48703971,"1"
"ACN",9.786,19.3573,9.6,15.1164,0.4978,1.808221848,0.0216,288.4415,0.0488,0.0531,0.0045,1.26,77662807990,0.147,0.093,0.126879419,0.0326,17.350039,"1"
"ACN",14.432,23.518,9.0199,16.2973,0.385,1.594403543,0.0185,285.7378,0.0498,-0.1566,0.0028,1.231,89561290673,0.145,0.095,0.137464711,0.0396,-6.685850751,"0"
"ADBE",14.038,73.1508,6.5608,34.3606,0.0899,0.408947465,0,14.6137,0.0292,1.3396,0.2724,2.178,45974335997,0.266,0.131,0.306432829,0.1564,11.93867085,"1"
"ADBE",19.084,47.517,13.0843,38.1977,0.2767,0.48112105,0,32.3067,0.0307,0.5385,0.4406,1.129,1.22e+11,0.358,0.287,0.446212672,0.2367,46.86288765,"1"
"ADBE",17.138,52.3382,10.4428,33.315,0.2002,0.50232031,0,29.731,0.0309,0.4569,0.2224,2.055,88493129873,0.348,0.232,0.398938712,0.2472,27.3157059,"1"
"ADBE",13.61,136.4444,5.4165,46.9879,0.0396,0.384492003,0,7.05,0.031,-0.0536,0.2235,1.845,36747080236,0.177,0.065,0.31045619,0.0226,29.85900912,"1"
"ADBE",14.899,42.4383,6.6583,25.4308,0.1574,0.461078725,0,21.3733,0.0402,0.871,0.2548,2.077,49588450705,0.314,0.2,0.375737348,0.2208,69.34673348,"1"
"ADI",29.337,43.6938,3.3078,24.275,0.0716,0.241588949,0.0194,4.3028,0.0283,-0.25,0.7726,1.473,33575418473,0.326,0.142,0.226013573,0.4928,-3.001002018,"0"
"ADI",16.225,27.0583,3.7209,15.8282,0.1374,0.486641241,0.026,30.9709,0.0398,0.1111,0.1715,3.663,18927135742,0.308,0.203,0.264271816,0.1991,37.1401142,"1"
"ADI",15.191,24.7363,3.2689,15.0414,0.1323,0.417624266,0.0292,21.9678,0.0444,-0.0748,0.1834,5.376,15622659620,0.316,0.22,0.30424819,0.0877,2.348990775,"1"
"ADI",16.732,22.9749,3.8202,13.8478,0.1668,0.429270974,0.0259,11.7814,0.0591,0.2545,0.3353,6.354,19709096028,0.367,0.252,0.377431637,-0.004,25.49138459,"1"
"ADI",30.419,21.4876,2.8447,13.9794,0.1327,0.30339715,0.0219,7.4613,0.0681,0.9179,0.562,2.008,32104851663,0.434,0.241,0.393869351,0.2141,41.16149096,"1"
"ADSK",-1.166,0,0,0,2.2145,0.499951381,0,-10.5622,-0.002,0.0115,-6.1953,0.884,25467249960,-0.195,-0.276,0.000437615,0.0126,42.26116405,"1"
"ADSK",3.294,0,24.4929,0,-0.7935,0.423292553,0,-20.6446,0.0052,-0.7877,2.032,1.126,18102733672,-0.177,-0.287,0.083554899,-0.1889,-20.06161064,"0"
"ADSK",7.166,0,6.605,67.8005,-0.2041,0.454027886,0,0.0602,0.0318,-5.1714,0.9186,1.881,10736648622,0.059,-0.132,0.165328861,-0.0032,37.60829799,"1"
"ADSK",10.096,50.2451,5.1171,24.2719,0.1012,0.494863983,0,58.1224,0.0432,-0.0654,0.33,2.646,1.1562e+10,0.182,0.101,0.247812129,-0.0166,2.351758029,"1"
